"edo_id","edo_nombre","region"
1,"Aguascalientes","Occidente"
2,"Baja California","Noroeste"
3,"Baja California Sur","Noroeste"
4,"Campeche","Sureste"
5,"Coahuila","Noreste"
6,"Colima","Occidente"
7,"Chiapas","Sureste"
8,"Chihuahua","Noroeste"
9,"Distrito Federal","Centro"
10,"Durango","Noreste"
11,"Guanajuato","Occidente"
12,"Guerrero","Centro"
13,"Hidalgo","Centro"
14,"Jalisco","Occidente"
15,"México","Centro"
16,"Michoacán","Occidente"
17,"Morelos","Centro"
18,"Nayarit","Occidente"
19,"Nuevo León","Noreste"
20,"Oaxaca","Sureste"
21,"Puebla","Centro"
22,"Querétaro","Occidente"
23,"Quintana Roo","Sureste"
24,"San Luis Potosí","Noreste"
25,"Sinaloa","Noroeste"
26,"Sonora","Noroeste"
27,"Tabasco","Sureste"
28,"Tamaulipas","Noreste"
29,"Tlaxcala","Centro"
30,"Veracruz","Sureste"
31,"Yucatán","Sureste"
32,"Zacatecas","Occidente"
